"";"Company";"Date";"City";"ScrapeDate";"Site"
"1";"Schober Information Group Deutschland GmbH";"12.12.15";"Stuttgart";2015-12-17;"Stepstone"
"2";"G+J Digital Products GmbH";"14.12.15";"Hamburg";2015-12-17;"Stepstone"
"3";"EnBW Energie Baden-Württemberg AG";"07.12.15";"Köln";2015-12-17;"Stepstone"
"4";"ProSiebenSat.1 Media SE";"12.12.15";"Unterföhring bei München";2015-12-17;"Stepstone"
"5";"Searchmetrics GmbH";"09.12.15";"Berlin";2015-12-17;"Stepstone"
"6";"Schober Information Group Deutschland GmbH";"12.12.15";"Stuttgart";2015-12-17;"Stepstone"
"7";"EnBW Energie Baden-Württemberg AG";"07.12.15";"Köln";2015-12-17;"Stepstone"
"8";"Lidl Stiftung & Co. KG";"03.12.15";"Neckarsulm";2015-12-17;"Stepstone"
"9";"Techniker Krankenkasse";"16.12.15";"Hamburg";2015-12-17;"Stepstone"
"10";"ALDI SÜD";"15.12.15";"Mülheim an der Ruhr";2015-12-17;"Stepstone"
"11";"Deloitte & Touche GmbH";"04.12.15";"Berlin,  Düsseldorf,  Frankfurt,  Hamburg,  Hannover,  Stuttgart,  München";2015-12-17;"Stepstone"
"12";"Zalando SE";"04.12.15";"Berlin, Dublin";2015-12-17;"Stepstone"
"13";"EOS Holding";"11.12.15";"Hamburg";2015-12-17;"Stepstone"
"14";"Capgemini Consulting";"07.12.15";"Berlin, Frankfurt am Main, Hamburg, Köln, München, Stuttgart";2015-12-17;"Stepstone"
"15";"Berner SE";"05.12.15";"Köln";2015-12-17;"Stepstone"
"16";"Schwarz Dienstleistung KG";"14.12.15";"Neckarsulm";2015-12-17;"Stepstone"
"17";"Media-Saturn-Holding GmbH";"14.12.15";"München";2015-12-17;"Stepstone"
"18";"Media-Saturn-Holding GmbH";"14.12.15";"München";2015-12-17;"Stepstone"
"19";"HolidayCheck AG";"13.12.15";"Bottighofem";2015-12-17;"Stepstone"
"20";"CHECK24 Services GmbH";"13.12.15";"Leipzig";2015-12-17;"Stepstone"
"21";"PwC";"10.12.15";"Düsseldorf";2015-12-17;"Stepstone"
"22";"Vodafone Kabel Deutschland GmbH";"06.12.15";"Unterföhring  bei München";2015-12-17;"Stepstone"
