"";"Term";"Monster";"Indeed";"Stepstone";"Category"
"1";"SAS";"138";"804";"10";"Language"
"2";"SPSS";"78";"530";"128";"Language"
"3";"Stata";"3";"93";"15";"Language"
"4";"Python";"739";"2902";"461";"Language"
"5";"Matlab";"519";"3131";"616";"Language"
"6";"Java";"1,000+";"18162";"2323";"Language"
"7";"Scala";"40";"377";"53";"Language"
"8";"D3.js";"4";"45";"6";"Language"
"9";"regression";"12";"201";"80";"Method"
"10";"neuronale netze";"Verflixt!";"12";"2730";"Method"
"11";"WebScraping";"Verflixt!";"2";"3";"Method"
"12";"API";"87";"965";"2";"Method"
"13";"TextMining";"Verflixt!";"10";"15";"Method"
"14";"Scrum";"775";"4659";"973";"Environment"
"15";"git";"282";"2591";"355";"Environment"
"16";"JIRA";"158";"1337";"240";"Environment"
"17";"eclipse";"289";"1730";"305";"Environment"
"18";"Spark";"53";"314";"72";"Technology"
"19";"Hadoop";"96";"726";"131";"Technology"
"20";"Mahout";"6";"30";"7";"Technology"
"21";"Hive";"25";"170";"30";"Technology"
"22";"Pig";"15";"93";"19";"Technology"
"23";"MapReduce";"14";"88";"18";"Technology"
"24";"Excel";"1,000+";"28537";"5224";"Business Intelligence"
"25";"Qlik";"5";"47";"13";"Business Intelligence"
"26";"SQL";"1,000+";"11889";"2043";"Business Intelligence"
"27";"Tableau";"47";"282";"53";"Business Intelligence"
"28";"Cloud";"723";"4989";"2";"Buzzwords"
"29";"Data Mining";"205";"640";"2205";"Buzzwords"
"30";"Predictive Analytics";"17";"221";"708";"Buzzwords"
"31";"Machine Learning";"55";"496";"891";"Buzzwords"
